fecha,id_cliente,id_producto,unidades,precio_unitario
2025-11-07,1404,34.0,8,53.15
2025-11-07,1123,26.0,7,74.85
2025-11-07,1523,22.0,5,54.33
2025-11-07,1178,32.0,7,83.68
2025-11-07,1299,32.0,8,124.49
2025-11-07,1195,13.0,9,90.68
2025-11-07,1634,20.0,7,105.59
2025-11-07,1443,20.0,3,75.76
2025-11-07,99999,12.0,1,25.36
2025-11-07,1883,16.0,7,19.78
2025-11-07,1206,10.0,4,39.49
2025-11-07,1335,48.0,5,20.32
2025-11-07,1565,20.0,5,64.57
2025-11-07,1147,27.0,9,98.23
2025-11-07,1719,49.0,1,89.41
2025-11-07,1591,30.0,5,92.45
2025-11-07,1270,49.0,7,106.37
2025-11-07,1972,4.0,1,33.78
2025-11-07,1121,49.0,4,115.68
2025-11-07,1244,38.0,8,20.72
2025-11-07,1385,33.0,4,17.65
2025-11-07,1549,43.0,9,33.86
2025-11-07,1251,7.0,2,57.68
2025-11-07,1860,13.0,8,34.79
2025-11-07,1580,17.0,9,31.97
2025-11-07,1941,25.0,9,87.34
2025-11-07,1691,7.0,5,69.59
2025-11-07,1507,10.0,6,54.58
2025-11-07,1185,8.0,6,45.31
2025-11-07,1724,31.0,8,57.86
2025-11-07,1710,13.0,1,126.24
2025-11-07,1191,41.0,6,64.84
2025-11-07,1050,28.0,7,102.39
2025-11-07,1036,39.0,4,133.74
2025-11-07,1373,35.0,5,41.62
2025-11-07,1188,24.0,4,6.67
2025-11-07,1254,18.0,1,9.5
2025-11-07,1506,21.0,9,99.37
2025-11-07,1039,19.0,7,91.06
2025-11-07,1888,18.0,3,110.71
2025-11-07,1659,31.0,5,120.88
2025-11-07,1603,20.0,3,97.06
2025-11-07,1266,18.0,8,77.79
2025-11-07,1934,33.0,8,109.57
2025-11-07,1221,1.0,8,73.26
2025-11-07,1805,16.0,7,27.65
2025-11-07,1625,16.0,8,32.61
2025-11-07,1801,36.0,8,146.61
2025-11-07,1300,38.0,9,87.44
2025-11-07,1717,24.0,1,40.99
2025-11-07,1312,37.0,4,105.85
2025-11-07,1538,20.0,6,96.97
2025-11-07,1241,26.0,5,85.22
2025-11-07,1278,49.0,7,117.01
2025-11-07,1633,4.0,4,8.82
2025-11-07,1733,26.0,7,72.31
2025-11-07,1032,25.0,6,129.78
2025-11-07,1602,12.0,1,104.61
2025-11-07,1887,37.0,7,126.18
2025-11-07,1897,35.0,7,105.02
2025-11-07,1554,29.0,2,133.53
2025-11-07,1368,38.0,9,112.48
2025-11-07,1154,49.0,2,136.95
2025-11-07,1677,11.0,9,116.94
2025-11-07,1850,25.0,4,90.63
2025-11-07,1124,22.0,5,146.54
2025-11-07,1159,40.0,8,143.68
2025-11-07,1702,7.0,5,30.77
2025-11-07,1090,16.0,8,17.9
2025-11-07,1602,21.0,1,50.53
2025-11-07,1916,34.0,4,33.06
2025-11-07,1810,14.0,4,26.06
2025-11-07,1325,21.0,8,125.56
2025-11-07,1477,23.0,6,33.42
2025-11-07,1111,48.0,8,120.84
2025-11-07,1426,32.0,3,51.35
2025-11-07,1668,5.0,2,69.92
2025-11-07,1918,23.0,2,71.08
2025-11-07,1035,14.0,2,147.83
2025-11-07,1813,18.0,2,139.9
2025-11-07,1640,23.0,9,61.41
2025-11-07,1836,31.0,7,115.78
2025-11-07,1899,12.0,1,17.25
2025-11-07,1029,19.0,7,60.1
2025-11-07,1379,25.0,1,127.42
2025-11-07,1105,2.0,4,55.38
2025-11-07,1864,8.0,7,6.23
2025-11-07,1331,47.0,3,31.4
2025-11-07,1073,41.0,3,12.13
2025-11-07,1810,24.0,3,51.88
2025-11-07,1546,34.0,4,24.35
2025-11-07,1606,36.0,7,72.78
2025-11-07,1076,20.0,5,13.87
2025-11-07,1898,31.0,8,99.13
2025-11-07,1574,31.0,9,122.98
2025-11-07,1646,40.0,8,61.22
2025-11-07,1260,12.0,2,55.8
2025-11-07,1267,25.0,2,23.92
2025-11-07,1869,21.0,8,76.63
2025-11-07,1877,8.0,5,149.59
2025-11-07,99999,18.0,3,97.08
2025-11-07,1492,27.0,9,143.73
2025-11-07,1470,36.0,8,11.59
2025-11-07,1835,5.0,7,16.81
2025-11-07,1099,26.0,7,88.44
2025-11-07,1077,38.0,9,123.4
2025-11-07,1243,8.0,2,123.74
2025-11-07,1285,20.0,9,23.39
2025-11-07,1287,37.0,4,131.73
2025-11-07,1256,20.0,6,118.8
2025-11-07,1546,24.0,7,41.75
2025-11-07,1178,19.0,0,46.69
2025-11-07,1808,47.0,6,97.66
2025-11-07,1710,31.0,6,73.37
2025-11-07,1207,16.0,3,88.39
2025-11-07,1051,21.0,8,99.42
2025-11-07,1550,14.0,5,117.4
2025-11-07,1867,25.0,9,73.99
2025-11-07,1088,33.0,8,59.18
2025-11-07,1109,8.0,3,125.23
2025-11-07,1402,25.0,7,64.33
2025-11-07,1813,7.0,4,43.52
2025-11-07,1543,28.0,8,13.1
2025-11-07,1186,15.0,6,6.47
2025-11-07,1677,40.0,2,31.5
2025-11-07,1207,35.0,2,138.47
2025-11-07,1899,42.0,9,102.0
2025-11-07,1933,23.0,2,83.41
2025-11-07,1755,47.0,8,7.4
2025-11-07,1364,7.0,7,113.92
2025-11-07,1064,35.0,8,28.67
2025-11-07,1959,18.0,9,89.52
2025-11-07,1790,35.0,7,142.12
2025-11-07,1072,2.0,2,140.77
2025-11-07,1340,30.0,2,11.7
2025-11-07,1113,4.0,1,111.79
2025-11-07,1124,23.0,6,142.64
2025-11-07,1455,29.0,3,-91.86
2025-11-07,1302,20.0,4,46.73
2025-11-07,1208,12.0,7,13.81
2025-11-07,1483,45.0,4,138.96
2025-11-07,1957,10.0,7,138.69
2025-11-07,1091,5.0,9,50.14
2025-11-07,1742,,6,
2025-11-07,1292,36.0,4,112.89
2025-11-07,1027,,3,
2025-11-07,1248,47.0,7,10.82
2025-11-07,1403,11.0,6,18.7
2025-11-07,1067,47.0,6,128.05
2025-11-07,1699,30.0,7,133.51
2025-11-07,1696,38.0,2,15.32
2025-11-07,1826,16.0,7,106.34
2025-11-07,1676,41.0,1,96.95
2025-11-07,1483,25.0,2,70.52
2025-11-07,1465,35.0,8,99.9
2025-11-07,1818,18.0,4,16.05
2025-11-07,1440,47.0,2,14.85
2025-11-07,1699,8.0,5,35.64
2025-11-07,1969,16.0,6,82.5
2025-11-07,1747,42.0,7,94.7
2025-11-07,1036,16.0,8,117.26
2025-11-07,1740,43.0,9,138.43
2025-11-07,1065,43.0,7,140.85
2025-11-07,1636,25.0,3,55.32
2025-11-07,1735,6.0,9,105.76
2025-11-07,1828,19.0,4,30.92
2025-11-07,1342,49.0,-5,65.23
2025-11-07,1304,2.0,9,27.08
2025-11-07,1400,5.0,5,15.79
2025-11-07,1852,44.0,9,106.74
2025-11-07,1427,28.0,4,149.12
2025-11-07,1156,35.0,7,126.15
2025-11-07,1783,36.0,4,86.2
2025-11-07,1339,11.0,7,132.97
2025-11-07,1264,28.0,1,51.17
2025-11-07,1006,7.0,2,112.64
2025-11-07,1309,17.0,8,35.62
2025-11-07,1595,39.0,4,10.58
2025-11-07,1357,32.0,6,116.62
2025-11-07,1727,34.0,7,147.65
2025-11-07,1440,19.0,3,89.09
2025-11-07,1318,46.0,3,105.44
2025-11-07,1336,4.0,2,104.15
2025-11-07,1566,18.0,1,53.99
2025-11-07,1624,9.0,2,116.46
2025-11-07,1289,46.0,2,49.3
2025-11-07,1586,41.0,2,84.6
2025-11-07,1757,48.0,7,71.74
2025-11-07,1308,6.0,7,135.37
2025-11-07,1189,38.0,4,57.35
2025-11-07,1111,33.0,8,101.47
2025-11-07,1383,13.0,8,-27.4
2025-11-07,1123,30.0,8,118.2
2025-11-07,1498,24.0,7,69.03
2025-11-07,1776,18.0,7,135.05
2025-11-07,1189,19.0,9,60.77
2025-11-07,1277,46.0,4,9.67
2025-11-07,1665,8.0,1,51.77
2025-11-07,1084,21.0,2,92.96
2025-11-07,1455,30.0,3,10.85
